#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein name
chr	NZ_CP014692.1	42339	42578	+	-	-	A0U92_RS00215	WP_077811472.1	79	hypothetical protein
chr	NZ_CP014692.1	42595	43185	-	-	-	A0U92_RS00220	WP_077811473.1	196	histidine phosphatase family protein
chr	NZ_CP014692.1	43205	44137	-	-	-	A0U92_RS00225	WP_077811474.1	310	ribose-phosphate pyrophosphokinase
chr	NZ_CP014692.1	44271	46982	-	-	-	A0U92_RS00230	WP_077811475.1	903	hypothetical protein
chr	NZ_CP014692.1	46979	48115	-	-	-	A0U92_RS00235	WP_077811476.1	378	DNA repair exonuclease
chr	NZ_CP014692.1	48419	50671	-	-	-	A0U92_RS00240	WP_077811477.1	750	peptidase domain-containing ABC transporter
chr	NZ_CP014692.1	50668	51987	-	-	-	A0U92_RS00245	WP_077811478.1	439	HlyD family efflux transporter periplasmic adaptor subunit
chr	NZ_CP014692.1	52149	52541	-	-	-	A0U92_RS00250	WP_077811479.1	130	hypothetical protein
chr	NZ_CP014692.1	52944	54680	+	-	-	A0U92_RS00255	WP_077811480.1	578	Hint domain-containing protein
chr	NZ_CP014692.1	55106	57319	+	-	-	A0U92_RS00260	WP_077811481.1	737	helix-turn-helix domain-containing protein
chr	NZ_CP014692.1	57386	57904	+	-	-	A0U92_RS00265	WP_077811482.1	172	DUF3576 domain-containing protein
chr	NZ_CP014692.1	58020	60647	+	-	-	A0U92_RS00270	WP_077811483.1	875	leucine--tRNA ligase
chr	NZ_CP014692.1	60647	61345	+	-	-	A0U92_RS00275	WP_077811484.1	232	hypothetical protein
chr	NZ_CP014692.1	61394	62410	+	-	-	A0U92_RS00280	WP_077814161.1	338	DNA polymerase III subunit delta
chr	NZ_CP014692.1	62532	63065	-	-	-	A0U92_RS00285	WP_077811485.1	177	lipocalin-like domain-containing protein
chr	NZ_CP014692.1	63174	64115	+	-	-	A0U92_RS00290	WP_077811486.1	313	LysR family transcriptional regulator
chr	NZ_CP014692.1	64255	66042	+	-	-	A0U92_RS00295	WP_077811487.1	595	arginine--tRNA ligase
chr	NZ_CP014692.1	66039	67100	+	-	-	A0U92_RS00300	WP_077811488.1	353	sporulation protein
chr	NZ_CP014692.1	67069	67944	+	-	-	A0U92_RS00305	WP_077811489.1	291	segregation/condensation protein A
chr	NZ_CP014692.1	67941	68861	+	-	-	A0U92_RS00310	WP_077811490.1	306	SMC-Scp complex subunit ScpB
chr	NZ_CP014692.1	69301	70020	+	-	-	A0U92_RS00315	WP_077814162.1	239	hypothetical protein
chr	NZ_CP014692.1	70126	70497	+	-	-	A0U92_RS00320	WP_077811491.1	123	phosphoribosyl-ATP pyrophosphatase
chr	NZ_CP014692.1	70710	71375	+	-	-	A0U92_RS00325	WP_077811492.1	221	CvpA family protein
chr	NZ_CP014692.1	71430	72929	+	-	-	A0U92_RS00330	WP_077811493.1	499	amidophosphoribosyltransferase
chr	NZ_CP014692.1	72999	74051	+	-	-	A0U92_RS00335	WP_077811494.1	350	nitronate monooxygenase
chr	NZ_CP014692.1	74187	75347	+	-	-	A0U92_RS00340	WP_077811495.1	386	hypothetical protein
chr	NZ_CP014692.1	75564	77426	+	-	-	A0U92_RS00345	WP_077811496.1	620	dihydroxy-acid dehydratase
chr	NZ_CP014692.1	78051	78380	-	-	-	A0U92_RS00350	WP_077814163.1	109	protein tyrosine phosphatase
chr	NZ_CP014692.1	78567	79766	+	-	-	A0U92_RS00355	WP_077811497.1	399	cytochrome b
chr	NZ_CP014692.1	79769	80518	+	-	-	A0U92_RS00360	WP_077811498.1	249	cytochrome c1
chr	NZ_CP014692.1	80508	81404	+	-	-	A0U92_RS00365	WP_077811499.1	298	S-methyl-5\'-thioadenosine phosphorylase
chr	NZ_CP014692.1	81755	82507	+	-	-	A0U92_RS00370	WP_077814164.1	250	hypothetical protein
chr	NZ_CP014692.1	82645	83412	-	-	-	A0U92_RS00375	WP_077811500.1	255	Crp/Fnr family transcriptional regulator
chr	NZ_CP014692.1	83515	83715	-	-	-	A0U92_RS00380	WP_077811501.1	66	hypothetical protein
chr	NZ_CP014692.1	84096	84884	+	-	-	A0U92_RS00385	WP_077811502.1	262	OmpW family protein
chr	NZ_CP014692.1	85239	85982	-	-	-	A0U92_RS00390	WP_077811503.1	247	endonuclease/exonuclease/phosphatase family protein
chr	NZ_CP014692.1	85979	87046	-	-	-	A0U92_RS00395	WP_077811504.1	355	AI-2E family transporter
chr	NZ_CP014692.1	87347	88219	+	-	-	A0U92_RS00400	WP_077811505.1	290	helix-turn-helix transcriptional regulator
chr	NZ_CP014692.1	88262	89137	+	-	-	A0U92_RS00405	WP_077811506.1	291	sulfurtransferase
chr	NZ_CP014692.1	89140	90354	+	-	-	A0U92_RS00410	WP_077811507.1	404	cystathionine beta-lyase
chr	NZ_CP014692.1	90453	91151	+	-	-	A0U92_RS00415	WP_077811508.1	232	transcriptional repressor LexA
chr	NZ_CP014692.1	91315	93567	-	-	-	A0U92_RS00420	WP_077811509.1	750	TonB-dependent receptor
chr	NZ_CP014692.1	93780	95207	-	-	-	A0U92_RS00425	WP_077814165.1	475	MFS transporter
chr	NZ_CP014692.1	95857	96369	+	-	-	A0U92_RS00430	WP_077811510.1	170	IS5 family transposase
chr	NZ_CP014692.1	96366	96797	+	-	-	A0U92_RS00435	WP_077811511.1	143	YeeE/YedE family protein
chr	NZ_CP014692.1	96794	97195	+	-	-	A0U92_RS00440	WP_077811512.1	133	hypothetical protein
chr	NZ_CP014692.1	97972	99384	+	-	-	A0U92_RS00445	WP_077814166.1	470	carbohydrate porin
chr	NZ_CP014692.1	99408	100562	+	-	-	A0U92_RS00450	WP_077811513.1	384	hypothetical protein
chr	NZ_CP014692.1	100570	101772	+	-	-	A0U92_RS00455	WP_077811514.1	400	Dyp-type peroxidase
chr	NZ_CP014692.1	101773	101952	+	-	-	A0U92_RS00460	WP_077811515.1	59	hypothetical protein
chr	NZ_CP014692.1	103121	104341	+	-	-	A0U92_RS00470	WP_077814167.1	406	NarK/NasA family nitrate transporter
chr	NZ_CP014692.1	104437	106032	+	-	-	A0U92_RS00475	WP_077814168.1	531	hypothetical protein
chr	NZ_CP014692.1	106061	108961	+	-	-	A0U92_RS00480	WP_077811516.1	966	nitrite reductase small subunit NirD
chr	NZ_CP014692.1	108969	112952	+	-	-	A0U92_RS00485	WP_077814169.1	1327	molybdopterin oxidoreductase
chr	NZ_CP014692.1	112952	113560	+	-	-	A0U92_RS00490	WP_077811517.1	202	ANTAR domain-containing protein
chr	NZ_CP014692.1	113560	114555	+	-	-	A0U92_RS00495	WP_077811518.1	331	ABC transporter substrate-binding protein
chr	NZ_CP014692.1	114569	115042	+	-	-	A0U92_RS00500	WP_077811519.1	157	hypothetical protein
chr	NZ_CP014692.1	115588	116718	+	-	-	A0U92_RS00505	WP_077811520.1	376	type VI secretion system protein TssA
chr	NZ_CP014692.1	116802	119456	+	-	-	A0U92_RS00510	WP_077811521.1	884	type VI secretion system ATPase TssH
chr	NZ_CP014692.1	119482	119961	+	-	-	A0U92_RS00515	WP_077811522.1	159	type VI secretion system tube protein Hcp
chr	NZ_CP014692.1	120155	120661	+	-	-	A0U92_RS00520	WP_077811523.1	168	type VI secretion system contractile sheath small subunit
chr	NZ_CP014692.1	120665	122161	+	-	-	A0U92_RS00525	WP_077811524.1	498	type VI secretion system contractile sheath large subunit
chr	NZ_CP014692.1	122186	123694	+	-	-	A0U92_RS00530	WP_077811525.1	502	type VI secretion system contractile sheath large subunit
chr	NZ_CP014692.1	123738	124556	+	-	-	A0U92_RS00535	WP_077811526.1	272	hypothetical protein
chr	NZ_CP014692.1	124553	125083	+	-	-	A0U92_RS00540	WP_077811527.1	176	type VI secretion system baseplate subunit TssE
chr	NZ_CP014692.1	125088	126920	+	-	-	A0U92_RS00545	WP_077811528.1	610	type VI secretion system baseplate subunit TssF
chr	NZ_CP014692.1	126917	128176	+	-	-	A0U92_RS00550	WP_077811529.1	419	type VI secretion system baseplate subunit TssG
chr	NZ_CP014692.1	128378	129628	+	-	-	A0U92_RS00555	WP_077811530.1	416	hypothetical protein
chr	NZ_CP014692.1	129630	130505	+	-	-	A0U92_RS00560	WP_077811531.1	291	DUF3365 domain-containing protein
chr	NZ_CP014692.1	130511	132079	+	-	-	A0U92_RS00565	WP_077811532.1	522	serine/threonine protein kinase
chr	NZ_CP014692.1	132094	133896	+	-	-	A0U92_RS00570	WP_077811533.1	600	type VI secretion system tip protein VgrG
chr	NZ_CP014692.1	133889	135457	+	-	-	A0U92_RS00575	WP_077811534.1	522	type VI secretion system-associated FHA domain protein TagH
chr	NZ_CP014692.1	135454	136782	+	-	-	A0U92_RS00580	WP_077811535.1	442	type VI secretion system baseplate subunit TssK
chr	NZ_CP014692.1	136793	138172	+	-	-	A0U92_RS00585	WP_077811536.1	459	hypothetical protein
chr	NZ_CP014692.1	138169	141705	+	-	-	A0U92_RS00590	WP_077811537.1	1178	type VI secretion system membrane subunit TssM
chr	NZ_CP014692.1	141727	142269	+	-	-	A0U92_RS00595	WP_077811538.1	180	type VI secretion system-associated protein TagF
chr	NZ_CP014692.1	142266	142997	+	-	-	A0U92_RS00600	WP_077811539.1	243	serine/threonine-protein phosphatase
chr	NZ_CP014692.1	144549	147518	+	-	-	A0U92_RS00610	WP_077811540.1	989	ATP-dependent DNA helicase
chr	NZ_CP014692.1	147611	149203	+	-	-	A0U92_RS00615	WP_077811541.1	530	bifunctional aspartate transaminase/aspartate 4-decarboxylase
chr	NZ_CP014692.1	149341	149619	+	-	-	A0U92_RS00620	WP_077811542.1	92	hypothetical protein
chr	NZ_CP014692.1	150148	151503	+	-	-	A0U92_RS00625	WP_077811543.1	451	cytochrome P450
chr	NZ_CP014692.1	151736	153901	-	-	-	A0U92_RS00630	WP_077814170.1	721	catalase
chr	NZ_CP014692.1	154016	154858	-	-	-	A0U92_RS00635	WP_077811544.1	280	glycosyltransferase family 25 protein
chr	NZ_CP014692.1	155132	156502	+	-	-	A0U92_RS00640	WP_077811545.1	456	NAD-dependent succinate-semialdehyde dehydrogenase
chr	NZ_CP014692.1	156613	156801	-	-	-	A0U92_RS00645	WP_077811546.1	62	hypothetical protein
chr	NZ_CP014692.1	156978	157478	-	-	-	A0U92_RS00650	WP_077811547.1	166	DUF721 domain-containing protein
chr	NZ_CP014692.1	157559	158587	+	-	-	A0U92_RS00655	WP_077814171.1	342	A/G-specific adenine glycosylase
chr	NZ_CP014692.1	158619	159248	+	-	-	A0U92_RS00660	WP_077811548.1	209	hypothetical protein
chr	NZ_CP014692.1	159330	160370	+	-	-	A0U92_RS00665	WP_077811549.1	346	ferrochelatase
chr	NZ_CP014692.1	160850	162679	+	-	-	A0U92_RS00670	WP_077811550.1	609	hypothetical protein
chr	NZ_CP014692.1	162952	164166	-	-	-	A0U92_RS00675	WP_077811551.1	404	hypothetical protein
chr	NZ_CP014692.1	164742	165053	-	-	-	A0U92_RS00680	WP_077811552.1	103	hypothetical protein
chr	NZ_CP014692.1	165413	165652	+	-	-	A0U92_RS00685	WP_077811553.1	79	hypothetical protein
chr	NZ_CP014692.1	166036	166443	+	-	-	A0U92_RS00690	WP_077811554.1	135	DUF1636 domain-containing protein
chr	NZ_CP014692.1	166440	167501	+	-	-	A0U92_RS00695	WP_077811555.1	353	cobalamin biosynthesis protein CobW
chr	NZ_CP014692.1	167509	170859	+	-	-	A0U92_RS00700	WP_077811556.1	1116	cobaltochelatase subunit CobN
chr	NZ_CP014692.1	170922	171275	+	-	-	A0U92_RS00705	WP_077811557.1	117	hypothetical protein
chr	NZ_CP014692.1	171275	172597	+	-	-	A0U92_RS00710	WP_077811558.1	440	cobyrinate a,c-diamide synthase
chr	NZ_CP014692.1	172594	173202	+	-	-	A0U92_RS00715	WP_077811559.1	202	cob(I)yrinic acid a,c-diamide adenosyltransferase
chr	NZ_CP014692.1	173202	174668	+	-	-	A0U92_RS00720	WP_077811560.1	488	cobyric acid synthase
chr	NZ_CP014692.1	174665	175690	+	-	-	A0U92_RS00725	WP_077811561.1	341	threonine-phosphate decarboxylase
chr	NZ_CP014692.1	175690	175890	+	-	-	A0U92_RS00730	WP_077811562.1	66	hypothetical protein
chr	NZ_CP014692.1	175884	177263	-	-	-	A0U92_RS00735	WP_077811563.1	459	sorbosone dehydrogenase family protein
chr	NZ_CP014692.1	177331	179517	-	-	-	A0U92_RS00740	WP_077811564.1	728	FUSC family protein
chr	NZ_CP014692.1	179758	180099	+	-	-	A0U92_RS00745	WP_077811565.1	113	DUF937 domain-containing protein
chr	NZ_CP014692.1	180130	180642	+	-	-	A0U92_RS00750	WP_077811566.1	170	hypothetical protein
chr	NZ_CP014692.1	180773	181717	-	-	-	A0U92_RS00755	WP_077811567.1	314	bifunctional riboflavin kinase/FAD synthetase
chr	NZ_CP014692.1	181717	182433	-	-	-	A0U92_RS00760	WP_077811568.1	238	acireductone synthase
chr	NZ_CP014692.1	182444	182989	-	-	-	A0U92_RS00765	WP_077811569.1	181	cupin domain-containing protein
chr	NZ_CP014692.1	182986	183666	-	-	-	A0U92_RS00770	WP_077811570.1	226	methylthioribulose 1-phosphate dehydratase
chr	NZ_CP014692.1	183714	183974	-	-	-	A0U92_RS00775	WP_077811571.1	86	twin-arginine translocase TatA/TatE family subunit
chr	NZ_CP014692.1	184154	184663	-	-	-	A0U92_RS00780	WP_077811572.1	169	CHAP domain-containing protein
chr	NZ_CP014692.1	184674	185324	-	-	-	A0U92_RS00785	WP_077811573.1	216	recombinase A
chr	NZ_CP014692.1	185531	185965	+	-	-	A0U92_RS00790	WP_077811574.1	144	50S ribosomal protein L11
chr	NZ_CP014692.1	185970	186662	+	-	-	A0U92_RS00795	WP_077811575.1	230	50S ribosomal protein L1
chr	NZ_CP014692.1	186944	187468	+	-	-	A0U92_RS00800	WP_077811576.1	174	50S ribosomal protein L10
chr	NZ_CP014692.1	187564	187938	+	-	-	A0U92_RS00805	WP_077811577.1	124	50S ribosomal protein L7/L12
chr	NZ_CP014692.1	188210	192382	+	-	-	A0U92_RS00810	WP_077811578.1	1390	DNA-directed RNA polymerase subunit beta
chr	NZ_CP014692.1	192518	196699	+	-	-	A0U92_RS00815	WP_077811579.1	1393	DNA-directed RNA polymerase subunit beta\'
chr	NZ_CP014692.1	197190	197561	+	-	-	A0U92_RS00820	WP_010666058.1	123	30S ribosomal protein S12
chr	NZ_CP014692.1	197577	198053	+	-	-	A0U92_RS00825	WP_010666057.1	158	30S ribosomal protein S7
chr	NZ_CP014692.1	198154	199344	+	-	-	A0U92_RS00830	WP_077811580.1	396	elongation factor Tu
chr	NZ_CP014692.1	199491	199799	+	-	-	A0U92_RS00835	WP_007282720.1	102	MULTISPECIES: 30S ribosomal protein S10
chr	NZ_CP014692.1	199810	200493	+	-	-	A0U92_RS00840	WP_077811581.1	227	50S ribosomal protein L3
chr	NZ_CP014692.1	200499	201113	+	-	-	A0U92_RS00845	WP_077811582.1	204	50S ribosomal protein L4
chr	NZ_CP014692.1	201110	201445	+	-	-	A0U92_RS00850	WP_077811583.1	111	50S ribosomal protein L23
chr	NZ_CP014692.1	201462	202292	+	-	-	A0U92_RS00855	WP_010666052.1	276	50S ribosomal protein L2
chr	NZ_CP014692.1	202306	202584	+	-	-	A0U92_RS00860	WP_010666051.1	92	30S ribosomal protein S19
chr	NZ_CP014692.1	202586	202993	+	-	-	A0U92_RS00865	WP_077811584.1	135	50S ribosomal protein L22
chr	NZ_CP014692.1	202996	203673	+	-	-	A0U92_RS00870	WP_077811585.1	225	30S ribosomal protein S3
chr	NZ_CP014692.1	203687	204103	+	-	-	A0U92_RS00875	WP_077811586.1	138	50S ribosomal protein L16
chr	NZ_CP014692.1	204105	204338	+	-	-	A0U92_RS00880	WP_077811587.1	77	50S ribosomal protein L29
chr	NZ_CP014692.1	204350	204622	+	-	-	A0U92_RS00885	WP_077811588.1	90	30S ribosomal protein S17
chr	NZ_CP014692.1	204639	205007	+	-	-	A0U92_RS00890	WP_010666045.1	122	MULTISPECIES: 50S ribosomal protein L14
chr	NZ_CP014692.1	205007	205327	+	-	-	A0U92_RS00895	WP_010666044.1	106	50S ribosomal protein L24
chr	NZ_CP014692.1	205338	205904	+	-	-	A0U92_RS00900	WP_010666043.1	188	50S ribosomal protein L5
chr	NZ_CP014692.1	206048	206353	+	-	-	A0U92_RS00905	WP_077811589.1	101	30S ribosomal protein S14
chr	NZ_CP014692.1	206363	206761	+	-	-	A0U92_RS00910	WP_010666041.1	132	30S ribosomal protein S8
chr	NZ_CP014692.1	206772	207305	+	-	-	A0U92_RS00915	WP_077811590.1	177	50S ribosomal protein L6
chr	NZ_CP014692.1	207305	207667	+	-	-	A0U92_RS00920	WP_077811591.1	120	50S ribosomal protein L18
chr	NZ_CP014692.1	207681	208259	+	-	-	A0U92_RS00925	WP_077811592.1	192	30S ribosomal protein S5
chr	NZ_CP014692.1	208252	208437	+	-	-	A0U92_RS00930	WP_077811593.1	61	50S ribosomal protein L30
chr	NZ_CP014692.1	208439	208930	+	-	-	A0U92_RS00935	WP_077811594.1	163	50S ribosomal protein L15
chr	NZ_CP014692.1	209056	210417	+	-	-	A0U92_RS00940	WP_077811595.1	453	preprotein translocase subunit SecY
chr	NZ_CP014692.1	210414	211082	+	-	-	A0U92_RS00945	WP_077811596.1	222	adenylate kinase
chr	NZ_CP014692.1	211222	211599	+	-	-	A0U92_RS00950	WP_077811597.1	125	30S ribosomal protein S13
chr	NZ_CP014692.1	211710	212102	+	-	-	A0U92_RS00955	WP_010666031.1	130	30S ribosomal protein S11
chr	NZ_CP014692.1	212228	213247	+	-	-	A0U92_RS00960	WP_077811598.1	339	DNA-directed RNA polymerase subunit alpha
chr	NZ_CP014692.1	213272	213700	+	-	-	A0U92_RS00965	WP_077811599.1	142	50S ribosomal protein L17
chr	NZ_CP014692.1	213920	214966	+	-	-	A0U92_RS00970	WP_077811600.1	348	ABC transporter substrate-binding protein
chr	NZ_CP014692.1	214989	215756	+	-	-	A0U92_RS00975	WP_077811601.1	255	ABC transporter permease
chr	NZ_CP014692.1	215753	216544	+	-	-	A0U92_RS00980	WP_077811602.1	263	ABC transporter ATP-binding protein
chr	NZ_CP014692.1	216615	216845	+	-	-	A0U92_RS00985	WP_077811603.1	76	hypothetical protein
chr	NZ_CP014692.1	216967	217143	+	-	-	A0U92_RS00990	WP_077811604.1	58	DUF1328 domain-containing protein
chr	NZ_CP014692.1	217214	217423	+	-	-	A0U92_RS00995	WP_077811605.1	69	hypothetical protein
chr	NZ_CP014692.1	217668	218381	+	-	-	A0U92_RS01000	WP_077811606.1	237	hypothetical protein
chr	NZ_CP014692.1	218357	218767	+	-	-	A0U92_RS01005	WP_077811607.1	136	hypothetical protein
chr	NZ_CP014692.1	219053	219868	-	-	-	A0U92_RS01010	WP_077811608.1	271	tryptophan synthase subunit alpha
chr	NZ_CP014692.1	219865	221088	-	-	-	A0U92_RS01015	WP_077811609.1	407	tryptophan synthase subunit beta
chr	NZ_CP014692.1	221366	222811	+	-	-	A0U92_RS01020	WP_077814172.1	481	cardiolipin synthase
chr	NZ_CP014692.1	222926	223174	+	-	-	A0U92_RS01025	WP_077811610.1	82	hypothetical protein
chr	NZ_CP014692.1	223195	223719	+	-	-	A0U92_RS01030	WP_077811611.1	174	DUF1269 domain-containing protein
chr	NZ_CP014692.1	223819	224007	+	-	-	A0U92_RS01035	WP_077814173.1	62	YqaE/Pmp3 family membrane protein
chr	NZ_CP014692.1	224263	225135	+	-	-	A0U92_RS01040	WP_077811612.1	290	LysR family transcriptional regulator
chr	NZ_CP014692.1	225372	226325	+	-	-	A0U92_RS01045	WP_077811613.1	317	DUF1852 family protein
chr	NZ_CP014692.1	226377	227405	+	-	-	A0U92_RS01050	WP_077811614.1	342	methionine synthase
chr	NZ_CP014692.1	228444	229883	-	-	-	A0U92_RS01060	WP_077811615.1	479	bifunctional D-glycero-beta-D-manno-heptose-7-phosphate kinase/D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase HldE
chr	NZ_CP014692.1	229891	230541	-	-	-	A0U92_RS01065	WP_077814174.1	216	guanylate kinase
chr	NZ_CP014692.1	230641	231483	+	-	-	A0U92_RS01070	WP_077811616.1	280	SDR family NAD(P)-dependent oxidoreductase
chr	NZ_CP014692.1	231528	232883	+	-	-	A0U92_RS01075	WP_077811617.1	451	hypothetical protein
chr	NZ_CP014692.1	233047	233604	+	-	-	A0U92_RS01080	WP_077811618.1	185	hypothetical protein
chr	NZ_CP014692.1	233957	234523	+	-	-	A0U92_RS01090	WP_077811619.1	188	hypothetical protein
chr	NZ_CP014692.1	235910	236491	-	-	-	A0U92_RS01095	WP_077811620.1	193	recombinase family protein
chr	NZ_CP014692.1	236685	237359	+	-	-	A0U92_RS01100	WP_077811621.1	224	hypothetical protein
chr	NZ_CP014692.1	237392	237745	+	-	-	A0U92_RS01105	WP_077811622.1	117	hypothetical protein
chr	NZ_CP014692.1	237721	237978	-	-	-	A0U92_RS01110	WP_077811623.1	85	hypothetical protein
chr	NZ_CP014692.1	238108	238470	-	-	-	A0U92_RS01115	WP_077811624.1	120	hypothetical protein
chr	NZ_CP014692.1	239071	239739	-	-	-	A0U92_RS01120	WP_077811625.1	222	recombinase family protein
chr	NZ_CP014692.1	239836	241722	-	-	-	A0U92_RS01125	WP_077811626.1	628	shufflon system plasmid conjugative transfer pilus tip adhesin PilV
chr	NZ_CP014692.1	241950	242276	+	-	-	A0U92_RS01130	WP_077811627.1	108	plasmid mobilization relaxosome protein MobC
chr	NZ_CP014692.1	242273	244024	+	-	-	A0U92_RS01135	WP_077811628.1	583	hypothetical protein
chr	NZ_CP014692.1	244217	244897	-	-	-	A0U92_RS01140	WP_077811629.1	226	hypothetical protein
chr	NZ_CP014692.1	245697	246545	-	-	-	A0U92_RS01145	WP_077811630.1	282	hypothetical protein
chr	NZ_CP014692.1	246542	247711	-	-	-	A0U92_RS01150	WP_077811631.1	389	site-specific integrase
chr	NZ_CP014692.1	248202	248540	+	-	-	A0U92_RS01155	WP_077811632.1	112	helix-turn-helix domain-containing protein
chr	NZ_CP014692.1	248678	249343	+	-	-	A0U92_RS01160	WP_077814175.1	221	DUF3363 domain-containing protein
chr	NZ_CP014692.1	249358	249621	+	-	-	A0U92_RS01165	WP_077811633.1	87	hypothetical protein
chr	NZ_CP014692.1	249926	250273	-	-	-	A0U92_RS01175	WP_077811634.1	115	hypothetical protein
chr	NZ_CP014692.1	250321	251298	+	-	-	A0U92_RS01180	WP_077811635.1	325	RluA family pseudouridine synthase
chr	NZ_CP014692.1	251550	252440	+	-	-	A0U92_RS01185	WP_077811636.1	296	RNA polymerase sigma factor RpoH
